"N:GEXP::EGFLAM:133584:"	"N:GEXP::TBL1X:6907:"	"N:GEXP::RHPN2:85415:"	"N:GEXP::SLC4A10:57282:"	"N:GEXP::CNTNAP4:85445:"	"N:GEXP::NDUFA4L2:56901:"	"N:GEXP::CRYBB1:1414:"	"N:GEXP::MC2R:4158:"	"N:GEXP::STAR:6770:"	"N:GEXP::AADAC:13:"	"N:GEXP::MGST1:4257:"	"N:GEXP::FAR2:55711:"	"N:GEXP::SHC3:53358:"	"N:GEXP::SALL4:57167:"	"N:GEXP::TCHP:84260:"	"N:GEXP::USH2A:7399:"	"N:GEXP::OPRM1:4988:"	"N:GEXP::NAV1:89796:"	"N:GEXP::ASTN1:460:"	"N:GEXP::TRIM14:9830:"	"N:GEXP::EML4:27436:"	"N:GEXP::PTN:5764:"	"N:GEXP::ZNF423:23090:"	"N:GEXP::CELF4:56853:"
"1"	0.0631885482955859	-0.681312680023692	0.22801655586984	-0.494477604562389	-0.550139426985979	-0.605321337489699	-0.328710323688719	-0.192130345606847	-0.214455870083048	-0.247258128713555	-0.246532427306242	1.57285389921114	1.24027578547848	0.030353295436373	0.698170817981013	4.16630983096446	1.59039658012758	2.46057268804619	3.68344292725958	1.42820060577031	0.241541001618201	0.642223577465425	0.263436484822978	1.11711769991465
"2"	0.232743155528786	-0.64229330427206	-0.121814475988498	-0.334268924960568	-0.340129806426003	-0.588240688092194	-0.387775369213202	-0.192130345606847	-0.21013292431522	-0.247258128713555	-0.250937289350737	0.778802929224882	0.894066308321998	1.57393129850027	0.915692182424878	0.400546121318	0.062103957009947	0.649401608434082	1.13564066634446	2.48380332947124	0.501053766620858	-0.0637850261487355	-0.265698256257344	0.626153887377352
"3"	0.658352268697867	-0.970566496755775	-0.258773468373595	-0.494485123437385	-0.549065548754646	-0.584421271689846	-0.171209903135885	-0.192130345606847	-0.219362444540621	-0.247258128713555	-0.251637736660037	1.17770435241946	-0.249387280936767	0.839926201864395	2.89352099346614	1.11438978560152	0.0347512853552761	2.11607801713282	1.02145383568655	2.52076043850876	1.21797703463663	2.17803228997799	-0.340779274370529	-0.0396623661336932
"4"	-0.353166954906948	-0.721738844474774	0.149665495304683	-0.482738635660639	-0.549851097570153	-0.568398906842626	1.04764659580822	-0.192130345606847	-0.216153339551961	-0.245476453323382	-0.250073788255953	-0.470836468325272	-0.176989888654853	-0.268861986618782	-0.542707785901342	0.871166739766897	-0.285911786867731	-0.956917409707122	0.199620615756535	-0.471688497638175	-0.496063836641929	-0.512001443635579	0.01951907956502	-0.0241713657622917
"5"	-0.836746375435692	-0.778190993704724	-0.988356171997368	-0.494807766717759	-0.5308439802037	-0.437528951753237	0.493405576776088	-0.192130345606847	-0.219814818797351	-0.24673704350238	-0.25067727508773	-0.0650566050587313	0.344427991646943	-0.249094163617318	0.113345078506909	-0.288291298372223	0.186070389076793	1.62668536975495	0.853086753117435	0.206266416493883	0.132579690726738	-0.357078254857144	0.179961982771941	0.506855378770007
"6"	-0.449717697665601	-0.694011799634942	-0.641814068123705	-0.496748471897227	-0.550601774686401	-0.548880724554151	0.21531083785454	-0.189617099959612	-0.215390854408012	-0.242772247168074	-0.249275140112144	0.0703717027917839	0.24763704215103	0.0613603916708823	0.585312585836833	-0.221285146459408	-0.0400288568846557	0.0392427719377667	0.66627728166745	0.83933435183467	-0.132202780531831	-0.751749016995346	0.0918994520236128	0.149019205439815
"7"	-0.172508015713891	-0.374300057026865	-0.595759515501087	-0.306804980892636	-0.259720771109839	-0.506122444890491	-0.678966807750399	-0.192130345606847	-0.218637599105608	-0.247258128713555	-0.251296319539986	0.230572015097286	0.693994380346632	-0.0890080420271915	1.05477473407144	-0.540218853704331	0.241139626022338	0.364110255809684	0.234119810876965	0.399667128821375	-0.115664010128662	1.57262397803297	-0.244867992188542	0.532733065214187
"8"	2.08841938925114	-1.03164698080691	-0.079173142233697	-0.496748471897227	-0.545340740956216	-0.570594004029846	-0.598904253157186	-0.192130345606847	-0.220190378587317	-0.247258128713555	-0.251272398369545	0.21113921936949	0.216977250056371	1.80587716476584	1.66636332818056	1.25851641395222	4.76785516252196	1.28744606586361	1.5950947077422	0.575103259669699	0.45905826138144	4.45829156345584	-0.31026658184691	-0.164777418941795
"9"	-0.576876534928989	-0.975589112625973	-0.525616433641871	-0.496748471897227	-0.550601774686401	-0.569693829721137	-0.511743195680112	-0.191454036613648	-0.217242836626482	-0.247258128713555	-0.251372831846628	-0.442240435998108	0.419846604317747	5.08687547147721	0.777546213617687	-0.505389832736148	-0.264569425104363	0.934692961058479	-0.403931792493956	0.196451978928289	0.000918106732887656	-0.499124438249657	-0.504321782249198	1.07901340015051
"10"	-0.300093942668042	-0.568769584067705	0.224001004260643	-0.469023873496108	-0.50561728264206	-0.601527745760141	-0.350678241655457	-0.192130345606847	-0.216269243496059	-0.247258128713555	-0.251270201165741	0.424539215028809	0.717268967046227	0.265687566032721	0.503010368827125	1.95024435383	0.680359244920624	1.23457063847871	1.04856689993678	2.21776109421436	0.743703471604599	-0.0837832465849484	-0.219066084982877	0.295085687869007
