"N:GEXP::PVRL1:5818:"	"N:GEXP::TBL1XR1:79718:"
"1"	-0.851857049633301	-0.706611040879826
"2"	-0.788725259573337	-0.760449656675363
"3"	-0.8610149270044	-0.629495976076026
"4"	-0.911039962970847	-0.159236010339971
"5"	-0.826455714342265	-1.34463175495593
"6"	-0.822457646735682	-0.707651857705399
"7"	-0.764872913826212	-0.719100842786699
"8"	-0.906471490430864	-0.332579321653544
"9"	-0.770692090761448	-1.3336558684317
"10"	-0.366698871876402	0.919050220953405
"11"	-0.152530135139492	1.9836165940915
"12"	-0.720569719641228	-0.571872571823862
"13"	-0.6529270208419	-0.556638798285933
"14"	-0.871868319957348	-1.10978563122215
"15"	-0.816638469800447	-1.24234784691555
"16"	-0.86585028625634	0.027354060571799
"17"	-0.856566815138437	-1.35333676840617
"18"	-0.843180614958283	-1.1504721071309
"19"	-0.845996008115798	-1.03257594670693
"20"	-0.886164028187272	-0.52257570217628
"21"	-0.852097770981341	-0.632429187129913
"22"	0.895319426734421	4.95391857485332
"23"	-0.917194056564225	-0.692891182724549
"24"	-0.739680901446515	-0.109844520980974
"25"	-0.926923385483281	-0.776724247038864
"26"	-0.802362647247099	-0.447353031600794
"27"	-0.770053655881863	-1.62249199949929
"28"	-0.821212175413212	-0.469115565226406
"29"	-0.880795942125973	-1.00314921645665
"30"	-0.864594348788304	-0.539418010808275
"31"	-0.843222479540551	-0.218184090551956
"32"	-0.842353789458492	-0.266156284239718
"33"	-0.914050026435907	-0.842768805607026
"34"	-0.679448233708602	-0.293785239973105
"35"	-0.867692327876127	0.0977511258650838
"36"	-0.861862684795324	-0.63933642606326
"37"	-0.790525436610856	-0.655137917869683
"38"	-0.717283349933199	-0.978737330911394
"39"	-0.877080460449699	-1.14176709368065
"40"	-0.889393880709239	-0.725440363451552
"41"	-0.912156700702842	-0.579347529025703
"42"	-0.776940379664929	-0.23152546986157
"43"	-0.870455390305807	-0.61047741408147
"44"	-0.866708510192832	-0.933792967988935
"45"	-0.871763658501678	-0.406855795114872
"46"	-0.834096000606153	-0.691566506764729
"47"	-0.880701746815871	-0.70036613992639
"48"	-0.783596848245522	0.0109848504968823
"49"	-0.829878143942664	1.14821916200224
"50"	-0.83044331580328	-1.54333314892891
"51"	-0.869921616881891	0.334395024115762
"52"	-0.834221594352956	-1.27016604207177
"53"	-0.84595414353353	-1.27111223918592
"54"	-0.74902716943782	-0.769438529259855
