"I:CNVR::THAP8:199745:"	"I:CNVR::TARDBP:23435:"
"385"	0	0
"386"	0	0
"387"	0	-1
"388"	0	-1
"389"	0	0
"390"	0	1
"391"	0	1
"392"	0	0
"393"	0	0
"394"	0	0
"395"	1	0
"396"	0	1
"397"	0	0
"398"	0	-1
"399"	0	0
"400"	0	-1
"401"	0	0
"402"	1	0
"403"	1	0
"404"	0	0
"405"	1	0
"406"	0	0
"407"	0	0
"408"	0	1
"409"	1	-1
"410"	0	-1
"411"	0	0
"412"	0	0
"413"	0	0
"414"	0	-1
"415"	1	0
"416"	0	-1
"417"	0	0
"418"	1	0
"419"	-1	-1
"420"	-1	-1
"421"	-1	-1
"422"	-1	-1
"423"	-1	-1
"424"	-1	-1
"425"	-1	-1
"426"	-1	-1
"427"	-1	-1
"428"	-1	-1
"429"	-1	-1
"430"	-1	-1
"431"	-1	-1
"432"	-1	-1
"433"	-1	-1
"434"	-1	-1
"435"	-1	-1
"436"	-1	-1
"437"	-1	-1
"438"	-1	-1
"439"	-1	-1
"440"	-1	-1
"441"	-1	-1
"442"	-1	-1
"443"	-1	-1
"444"	-1	-1
"445"	-1	-1
"446"	-1	-1
"447"	-1	-1
"448"	-1	-1
"449"	-1	-1
"450"	-1	-1
"451"	-1	-1
"452"	-1	-1
"453"	-1	-1
"454"	-1	-1
"455"	-1	-1
"456"	-1	-1
"457"	-1	-1
"458"	-1	-1
"459"	-1	-1
"460"	-1	-1
"461"	-1	-1
"462"	-1	-1
"463"	-1	-1
"464"	-1	-1
"465"	-1	-1
"466"	-1	-1
"467"	-1	-1
"468"	-1	-1
"469"	-1	-1
"470"	-1	-1
"471"	-1	-1
"472"	-1	-1
"473"	-1	-1
"474"	-1	-1
"475"	-1	-1
"476"	-1	-1
"477"	-1	-1
"478"	-1	-1
"479"	-1	-1
"480"	-1	-1
"481"	-1	-1
"482"	-1	-1
"483"	-1	-1
"484"	-1	-1
"485"	-1	-1
"486"	-1	-1
"487"	-1	-1
"488"	-1	-1
"489"	-1	-1
"490"	-1	-1
"491"	-1	-1
"492"	-1	-1
"493"	-1	-1
"494"	-1	-1
"495"	-1	-1
"496"	-1	-1
"497"	-1	-1
"498"	-1	-1
"499"	-1	-1
"500"	-1	-1
"501"	-1	-1
"502"	-1	-1
"503"	-1	-1
"504"	-1	-1
"505"	0	-1
"506"	-1	-1
"507"	-1	-1
"508"	-1	-1
"509"	0	-1
"510"	-1	-1
"511"	-1	-1
"512"	-1	-1
"513"	-1	-1
"514"	-1	-1
"515"	-1	-1
"516"	-1	-1
"517"	-1	-1
"518"	-1	-1
"519"	-1	-1
"520"	-1	-1
"521"	-1	-1
"522"	-1	-1
"523"	-1	-1
"524"	-1	-1
"525"	-1	-1
"526"	-1	-1
"527"	-1	-1
"528"	-1	-1
"529"	-1	-1
"530"	-1	-1
"531"	-1	-1
"532"	-1	-1
"533"	-1	-1
"534"	-1	-1
"535"	-1	-1
"536"	-1	-1
"537"	-1	-1
"538"	-1	-1
"539"	-1	-1
"540"	-1	-1
"541"	-1	-1
"542"	-1	-1
"543"	-1	-1
"544"	-1	-1
"545"	-1	-1
"546"	-1	-1
"547"	-1	-1
"548"	-1	-1
"549"	-1	-1
"550"	-1	-1
"551"	-1	-1
"552"	-1	-1
"553"	-1	-1
"554"	-1	-1
"555"	-1	-1
"556"	-1	-1
"557"	-1	-1
"558"	-1	-1
"559"	-1	-1
"560"	-1	-1
"561"	-1	-1
"562"	-1	-1
"563"	-1	-1
"564"	-1	-1
"565"	-1	-1
"566"	-1	-1
"567"	-1	-1
"568"	-1	-1
"569"	-1	-1
"570"	-1	-1
"571"	-1	-1
"572"	-1	-1
"573"	-1	-1
"574"	0	0
"575"	1	0
"576"	1	0
"577"	0	0
"578"	1	0
"579"	0	0
"580"	0	0
"581"	1	0
"582"	1	0
"583"	1	0
"584"	0	0
"585"	1	0
"586"	1	0
"587"	1	0
"588"	0	0
"589"	1	0
"590"	1	0
"591"	0	0
"592"	0	0
"593"	0	1
"594"	0	0
"595"	1	0
"596"	1	0
"597"	0	0
"598"	1	0
"599"	1	-1
"600"	0	1
"601"	0	-1
"602"	0	-1
"603"	1	0
"604"	1	0
"605"	1	-1
"606"	-1	1
"607"	1	0
"608"	0	1
"609"	1	0
"610"	1	-1
"611"	1	0
"612"	1	0
"613"	0	1
"614"	0	0
"615"	0	0
"616"	1	0
"617"	1	0
"618"	0	0
"619"	1	1
"620"	-1	-1
"621"	1	0
"622"	0	-1
"623"	1	0
"624"	0	0
"625"	0	0
"626"	1	1
"627"	1	0
"628"	1	0
"629"	0	0
"630"	1	0
"631"	0	-1
"632"	-1	1
"633"	1	0
"634"	1	-1
"635"	0	0
"636"	1	0
"637"	1	0
"638"	0	-1
"639"	0	0
"640"	0	1
"641"	1	0
"642"	1	0
"643"	1	0
"644"	1	0
"645"	1	0
"646"	0	0
"647"	0	1
"648"	0	0
"649"	1	0
"650"	1	0
"651"	1	0
"652"	1	1
"653"	-1	0
"654"	1	-1
"655"	1	0
"656"	1	0
"657"	1	0
"658"	0	-1
"659"	1	0
"660"	-1	1
"661"	0	0
"662"	0	0
"663"	1	0
"664"	1	0
"665"	0	0
"666"	1	0
"667"	1	-1
"668"	1	0
"669"	0	0
"670"	1	0
"671"	1	0
"672"	-1	0
"673"	1	0
"674"	0	1
"675"	0	0
"676"	1	0
"677"	0	0
"678"	1	-1
"679"	1	-1
"680"	0	0
"681"	1	0
"682"	1	1
"683"	1	0
"684"	1	0
"685"	0	0
"686"	0	-1
"687"	1	0
"688"	0	0
"689"	0	0
"690"	1	-1
"691"	1	0
"692"	0	1
"693"	1	0
"694"	1	0
"695"	1	0
"696"	1	0
"697"	0	0
"698"	0	0
"699"	1	0
"700"	1	0
"701"	1	-1
"702"	1	0
"703"	1	0
"704"	0	0
"705"	0	-1
"706"	0	0
"707"	0	0
"708"	0	0
"709"	-1	0
"710"	0	-1
"711"	0	0
"712"	1	1
"713"	0	0
"714"	0	0
"715"	0	0
"716"	1	0
"717"	-1	0
"718"	0	0
"719"	0	0
"720"	0	-1
"721"	0	0
"722"	-1	0
"723"	0	0
"724"	0	0
"725"	0	1
"726"	0	0
"727"	0	0
"728"	-1	1
"729"	0	0
"730"	-1	0
"731"	1	1
"732"	0	0
"733"	1	1
"734"	0	0
"735"	-1	1
"736"	0	0
"737"	0	0
"738"	0	0
"739"	1	0
"740"	0	0
"741"	0	0
"742"	0	0
"743"	-1	0
"744"	0	0
"745"	0	0
"746"	0	0
"747"	0	0
"748"	0	0
"749"	-1	0
"750"	0	0
"751"	0	0
"752"	0	0
"753"	-1	-1
"754"	0	0
"755"	0	0
"756"	0	0
"757"	-1	0
"758"	0	0
"759"	-1	0
"760"	0	0
"761"	0	0
"762"	0	0
"763"	0	0
"764"	0	-1
"765"	0	0
"766"	0	0
"767"	0	0
"768"	0	0
"769"	0	0
"770"	0	0
"771"	-1	0
"772"	0	-1
"773"	1	-1
"774"	0	1
"775"	0	1
"776"	1	1
"777"	0	0
"778"	0	0
"779"	0	0
"780"	0	0
"781"	1	0
"782"	-1	0
