"N:METH:cg15193782:ARMC3:TssD1:NA"	"N:METH:cg21035368:ERCC1:TssD6196:Island"
"1"	-0.520599055088852	-0.379985713080302
"2"	1.81226033934047	-0.287615061845663
"3"	-0.549817755713054	-0.625292417669752
"4"	4.94670853691668	-0.517138155068113
"5"	1.01617162848012	0.22219640608904
"6"	0.444662824013229	-0.599503490516807
"7"	1.04673729048061	-0.686243586682407
"8"	2.03157328137792	-0.622321191816993
"9"	0.346231031130278	-0.512632069451637
"10"	1.41663360689338	-0.577999038212315
"11"	0.459341249267704	-0.583005800008399
"12"	-0.0208159439095677	-0.433188713018363
"13"	-0.684833364950835	-0.133021031633789
"14"	0.305822189841487	-0.533168000621805
"15"	-0.473489944389784	-0.255941137630764
"16"	1.08127476166761	-0.114939234524325
"17"	-0.0839418068716074	2.18591404496299
"18"	2.86651664732366	-0.571999131863237
"19"	2.13648085010844	-0.509176583031717
"20"	0.962293173428396	-0.598904320662522
"21"	0.011217560616375	-0.258116206279883
"22"	-0.599577617325725	-0.543353888144658
"23"	-0.641013948382329	-0.6645913938659
"24"	-0.676086750372727	-0.618077755999657
"25"	-0.577430463927061	0.0127331912758185
"26"	0.505535116980317	-0.486736440817793
"27"	-0.320963837260194	-0.475705149253962
"28"	-0.229275485626505	-0.416017982399661
"29"	-0.647506992965485	-0.638671141813386
"30"	-0.706307037661353	0.417788428385241
"31"	-0.623158075778649	-0.582496916022567
"32"	-0.555214235586023	-0.642463148288453
"33"	-0.552986568694461	-0.648151158001053
"34"	-0.270590935533954	-0.628961307051472
"35"	-0.605207225129206	-0.216806317559078
"36"	-0.458759712928528	-0.490659772192429
"37"	0.536100778980812	-0.549780600417336
"38"	-0.435740488382392	-0.539750661212722
"39"	-0.430801630002651	-0.22265848339614
"40"	0.689274463695158	-0.41035459610573
"41"	-0.573588170257507	2.8811152320586
"42"	-0.474491531054207	2.44331084811905
"43"	-0.265660711522009	0.431413386715569
"44"	-0.556077672365698	2.73173315879838
"45"	0.62149467649067	0.175083598368511
"46"	-0.620058337739616	0.686101613818008
"47"	1.94738819535961	1.07482331654348
"48"	-0.490516917684975	-0.415673254538291
"49"	0.524962444523004	2.3531070577273
"50"	-0.671130623257393	2.39931700676329
"51"	-0.363393120613423	1.60512967661724
"52"	0.515119265234709	0.173524115186124
"53"	-0.537125235051832	0.371988869660407
"54"	-0.193080215822528	-0.554721699763636
"55"	-0.472022101864336	0.876276484006971
"56"	-0.435222426314587	2.15915659667572
"57"	-0.625938342209203	2.49091612421296
"58"	-0.286892621934218	1.8736890962367
"59"	0.547411800794554	-0.13230695249238
"60"	-0.635945574485636	-0.530919061716679
"61"	-0.620231025095551	-0.632654819851862
"62"	-0.715183167756412	-0.601005519055632
"63"	-0.717428103383567	-0.515521217242164
"64"	-0.729144940483756	-0.656843224791304
"65"	-0.714880964883525	-0.60118609079254
"66"	-0.518440463139665	-0.563027999661401
"67"	-0.650339065602819	-0.62031848709856
"68"	-0.534888933792473	-0.571202974659598
"69"	-0.569676801645579	-0.620712461797268
"70"	-0.631308918978781	-0.608794727161343
"71"	-0.535130696090782	-0.609656546814768
"72"	-0.558711154543707	-0.543657576974912
"73"	-0.655709642372397	-0.641584913022582
"74"	-0.754875356518072	-0.570103128625704
