"N:METH:cg07479491:BMP6:TssU923:Island"	"N:METH:cg05532892:PDE3B:TssD629:Island"
"1"	-0.7594062457043	-0.734328962795437
"2"	-0.239852419654522	-0.610042103800404
"3"	-0.463831793132642	-0.460361621601998
"4"	-0.780101565237759	-0.822957867582539
"5"	-0.156594408532666	-0.332039056161726
"6"	2.06098016377123	3.33493465795363
"7"	-0.239001110747345	-0.473463846636539
"8"	-0.418967813724444	2.10008219724385
"9"	-0.709902632751991	-0.67383022188348
"10"	-0.684312287002267	-0.687208865167696
"11"	-0.747811418388557	-0.770208051603106
"12"	0.244797741201023	0.360858570295791
"13"	-0.149017759258796	-0.216450158089765
"14"	-0.543114191657983	-0.729528499192767
"15"	-0.589399856941166	-0.798024941461955
"16"	1.61344707126858	0.591575669356924
"17"	-0.607047490586934	-0.67100154179515
"18"	-0.213121319969182	-0.63262547479876
"19"	-0.194733047574171	-0.519386131849027
"20"	-0.263859330836897	-0.301854183297338
"21"	-0.580120589852943	-0.584068002272715
"22"	0.935464657593264	0.703985757557635
"23"	-0.570568903914423	-0.593199018453609
"24"	2.11027094949674	3.17986401988659
"25"	-0.695421868240919	-0.821916692175434
"26"	-0.676616454481392	-0.820562242752032
"27"	-0.783259921283384	-0.686941660859678
"28"	-0.142888335127126	-0.53307804914954
"29"	-0.158722680800608	-0.577544531580411
"30"	-0.096747392358163	0.886974638841745
"31"	-0.608724569134071	-0.562627160039678
"32"	-0.369677027998928	-0.629778366827119
"33"	-0.0700162926728229	2.44238012975667
"34"	-0.67038487328086	-0.475970038766916
"35"	1.2816068592512	-0.484299442023755
"36"	2.47045974812309	-0.355258189134332
"37"	-0.0301750358169659	-0.351213268747438
"38"	-0.478133782773206	-0.533188616449409
"39"	1.19877450258294	0.863571227036023
"40"	0.406801826236698	1.29119025928152
"41"	-0.734965166979265	-0.74385617846753
"42"	-0.044987810801836	-0.375335368002312
"43"	-0.529893364329533	-0.500654188462793
"44"	-0.758256978679612	-0.579967798235886
"45"	0.0774304100501354	-0.213243706393548
"46"	0.257311982136516	-0.29266788346651
"47"	0.188355960655225	1.46395166532769
"48"	1.41790141529015	2.87921310365796
"49"	-0.100067497096151	-0.562912792231007
"50"	-0.224443728434628	-0.59692145088255
"51"	0.201721510497895	-0.0393029158154303
"52"	-0.319364671584801	0.329991865748875
"53"	-0.189880586803265	0.465068250422844
"54"	-0.453530955355807	-0.625521525782141
"55"	2.99069462129861	2.37926462941447
"56"	-0.733356193144701	-0.583275603290316
"57"	-0.13803587435622	-0.28289189136971
"58"	-0.642547072016191	0.096510584191003
"59"	-0.811412706843708	-0.494563773028312
"60"	-0.519252002989828	1.46432022299392
"61"	-0.604042370144601	-0.608116389994342
"62"	-0.393769070072021	-0.48996601614207
"63"	0.00890004302243234	-0.530470503660949
"64"	-0.300465613845484	-0.172269307850223
"65"	0.0539342842120659	0.268811293154389
"66"	-0.221208754587358	-0.495494381135548
"67"	3.71711651179227	3.44716046732123
"68"	-0.671329826167826	0.502476853545376
"69"	0.144598682826356	-0.620131369913501
"70"	-0.338348860214835	-0.381186220953742
"71"	-0.106111790337104	-0.631501373916753
"72"	-0.0296642504726602	-0.45871232604561
"73"	0.974880259995533	-0.0413299829797054
"74"	-0.654490935983876	-0.512936372689969
"75"	0.0111985770718086	-0.0586521932926019
"76"	-0.171917968861842	-0.485110268889466
"77"	-0.478644568117512	-0.679303303227023
"78"	1.79366916691783	1.93128278610967
"79"	-0.776628224896479	-0.812398690444996
"80"	1.70343042275713	-0.235311096659179
"81"	0.0615109334859362	-0.102510555574191
"82"	1.28509722577063	1.82744166364885
"83"	0.253651353835657	-0.262916065859944
"84"	-0.168853256796007	-0.456869537714451
"85"	-0.19260477530623	-0.627484095354826
"86"	-0.543318505795706	-0.545433944909962
"87"	-0.374699750551269	-0.713182966695385
"88"	0.107566745364181	-0.0410535647300316
"89"	-0.456595667421642	0.917564925138988
"90"	0.224962243663812	-0.531373469943217
"91"	-0.325664357497907	-0.589909641282489
"92"	-0.444251688267584	-0.570422154680481
"93"	-0.323791477902118	-0.453506449010085
"94"	-0.826421282877229	-0.793510110050614
"95"	-0.280970639871144	-0.36836962811053
