"N:METH:cg18110535:LPIN2:TssU467:Shore"	"N:METH:cg21692936:SLC3A2:TssD353:Shore"
"1"	-1.10537608557508	-0.584725433431961
"2"	1.39731242335495	-0.431358739343715
"3"	0.873454723602742	-0.567718386030399
"4"	-0.551676756030629	0.26900138901765
"5"	-1.17108423127338	-0.795987332473106
"6"	0.620286549963545	-0.818053651547197
"7"	-1.18047198749356	-0.809932822516222
"8"	0.0789689761672537	-0.718066846685082
"9"	0.12354083772345	0.786914842154952
"10"	-1.09301277335584	-0.626638923872211
"11"	-1.20535845584935	-0.690618733386552
"12"	-1.17591643585037	0.302601499649663
"13"	-0.369393211873218	-0.326461889661449
"14"	-0.317198025030169	-0.710287795283745
"15"	-1.16925217406734	-0.705348867847005
"16"	-1.00743479916794	-0.749972510477201
"17"	0.0934164071544348	-0.244050156993817
"18"	-0.886592797685377	-0.644960130328579
"19"	-0.677215709544772	1.65892917467491
"20"	-1.16145670917724	-0.174298637931083
"21"	-1.14542313470295	-0.782027401121697
"22"	-1.18674893516927	-0.80543194809775
"23"	-0.902349719225865	-0.816932043269653
"24"	-1.23480662369131	-0.679961047865165
"25"	-1.11505893825798	-0.700910572431143
"26"	-0.710537018459887	0.105285090651634
"27"	-0.681703634915258	0.228517588098561
"28"	-1.17895961812213	-0.692231346146111
"29"	-1.12374584037921	-0.779673467869683
"30"	-0.887213729825677	-0.5915272896387
"31"	-0.958989796538587	-0.805605243797284
"32"	-1.17121948381879	-0.804584724677802
"33"	-0.806873717851005	-0.589014501995446
"34"	-0.943245170684047	-0.694864478025153
"35"	-0.831096219165683	-0.27163305583643
"36"	-0.949645075219219	-0.660484536745233
"37"	-1.06791113049599	-0.58149058037398
"38"	-0.458291021266681	-0.603166984124117
"39"	-0.389066309387677	-0.60308033627435
"40"	-0.666518462771285	-0.737163070019925
"41"	-0.475812373740496	-0.78944541981567
"42"	-0.748346252745489	-0.488782194892324
"43"	-1.15758971594705	-0.6427794927761
"44"	-1.04220085118178	-0.589134846231234
